RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y);Trace 2  (X);Trace 2  (Y);Trace 3  (X);Trace 3  (Y);Trace 4  (X);Trace 4  (Y);Trace 5  (X);Trace 5  (Y);Trace 6  (X);Trace 6  (Y);Trace 7 Už asi 7. (X);Trace 7 Už asi 7. (Y);Trace 8 Už asi 7. (X);Trace 8 Už asi 7. (Y);Trace 9 Už asi 7. (X);Trace 9 Už asi 7. (Y);Trace 10 Už asi 7. (X);Trace 10 Už asi 7. (Y);Trace 11 Už asi 11. (X);Trace 11 Už asi 11. (Y)
43441575,5977;34,0000;43441575,5977;24,0000;43441575,5977;44,0000;31640000,0000;14,0171;31640000,0000;13,6368;31640000,0000;14,1432;31640000,0000;13,5107;31640000,0000;12,7847;31640000,0000;13,1406;31640000,0000;13,2606;31640000,0000;13,6368;31640000,0000;13,8910;31640000,0000;13,5107;31640000,0000;14,5296
43835618,3433;34,0000;43835618,3433;24,0000;43835618,3433;44,0000;31680000,0000;13,3874;31680000,0000;13,1454;31680000,0000;13,5155;31680000,0000;13,0274;31680000,0000;13,3874;31680000,0000;13,0274;31680000,0000;12,4315;31680000,0000;13,3874;31680000,0000;13,1454;31680000,0000;13,1454;31680000,0000;13,6416
44233235,3075;34,0000;44233235,3075;24,0000;44233235,3075;44,0000;31720000,0000;15,0598;31720000,0000;13,5203;31720000,0000;14,6694;31720000,0000;14,7995;31720000,0000;13,9006;31720000,0000;14,1528;31720000,0000;12,7943;31720000,0000;13,2702;31720000,0000;12,7943;31720000,0000;15,3181;31720000,0000;14,5392
44634458,9106;34,0000;44634458,9106;24,0000;44634458,9106;44,0000;31760000,0000;14,2857;31760000,0000;13,9054;31760000,0000;14,9345;31760000,0000;16,6184;31760000,0000;15,1928;31760000,0000;14,6742;31760000,0000;13,3970;31760000,0000;13,3970;31760000,0000;13,1550;31760000,0000;13,5251;31760000,0000;14,1576
45039321,8672;34,0000;45039321,8672;24,0000;45039321,8672;44,0000;31800000,0000;13,6560;31800000,0000;14,4186;31800000,0000;15,5860;31800000,0000;15,8423;31800000,0000;15,0695;31800000,0000;14,5488;31800000,0000;14,4186;31800000,0000;13,6560;31800000,0000;16,3568;31800000,0000;14,4186;31800000,0000;12,9218
45447857,1886;34,0000;45447857,1886;24,0000;45447857,1886;44,0000;31840000,0000;14,4234;31840000,0000;13,2846;31840000,0000;15,5908;31840000,0000;17,4314;31840000,0000;14,1672;31840000,0000;14,2953;31840000,0000;14,8139;31840000,0000;13,6608;31840000,0000;14,0411;31840000,0000;14,6838;31840000,0000;14,4234
45860098,1855;34,0000;45860098,1855;24,0000;45860098,1855;44,0000;31880000,0000;15,2072;31880000,0000;13,4114;31880000,0000;14,5584;31880000,0000;16,5006;31880000,0000;15,5956;31880000,0000;14,8187;31880000,0000;15,8519;31880000,0000;13,6656;31880000,0000;13,7917;31880000,0000;13,0514;31880000,0000;12,6935
46276078,4706;34,0000;46276078,4706;24,0000;46276078,4706;44,0000;31920000,0000;13,6704;31920000,0000;14,3049;31920000,0000;15,6004;31920000,0000;13,9246;31920000,0000;13,7965;31920000,0000;13,6704;31920000,0000;16,9061;31920000,0000;14,0507;31920000,0000;13,2942;31920000,0000;13,9246;31920000,0000;14,1768
46695831,9617;34,0000;46695831,9617;24,0000;46695831,9617;44,0000;31960000,0000;13,2990;31960000,0000;15,8615;31960000,0000;13,2990;31960000,0000;13,9294;31960000,0000;13,0610;31960000,0000;14,0555;31960000,0000;14,3097;31960000,0000;12,8231;31960000,0000;12,8231;31960000,0000;13,4210;31960000,0000;12,3472
47119392,8841;34,0000;47119392,8841;24,0000;47119392,8841;44,0000;32000000,0000;13,6800;32000000,0000;13,4258;32000000,0000;13,3038;32000000,0000;14,1864;32000000,0000;15,3517;32000000,0000;13,1838;32000000,0000;13,9342;32000000,0000;13,6800;32000000,0000;13,3038;32000000,0000;13,9342;32000000,0000;12,7079
