RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y);Trace 2  (X);Trace 2  (Y)
101515654,6028;34,1304;101515654,6028;24,1304;101515654,6028;44,1304;35400000,0000;29,3473;35400000,0000;29,3473
102436466,2150;34,2086;102436466,2150;24,2086;102436466,2150;44,2086;35440000,0000;29,2166;35440000,0000;30,2517
103365630,1747;34,2869;103365630,1747;24,2869;103365630,1747;44,2869;35480000,0000;26,5761;35480000,0000;32,1608
104303222,2430;34,3651;104303222,2430;24,3651;104303222,2430;44,3651;35520000,0000;27,8973;35520000,0000;30,1222
105249318,8682;34,4433;105249318,8682;24,4433;105249318,8682;44,4433;35560000,0000;26,3162;35560000,0000;29,9932
106203997,1921;34,5216;106203997,1921;24,5216;106203997,1921;44,5216;35600000,0000;29,2134;35600000,0000;26,3153
107167335,0561;34,5998;107167335,0561;24,5998;107167335,0561;44,5998;35640000,0000;28,9521;35640000,0000;27,8945
108139411,0079;34,6781;108139411,0079;24,6781;108139411,0079;44,6781;35680000,0000;27,3626;35680000,0000;26,8318
109120304,3073;34,7563;109120304,3073;24,7563;109120304,3073;44,7563;35720000,0000;26,0538;35720000,0000;29,0800
110110094,9334;34,8346;110110094,9334;24,8346;110110094,9334;44,8346;35760000,0000;26,3108;35760000,0000;26,1806
111108863,5906;34,9128;111108863,5906;24,9128;111108863,5906;44,9128;35800000,0000;25,7929;35800000,0000;27,0924
112116691,7153;34,9911;112116691,7153;24,9911;112116691,7153;44,9911;35840000,0000;27,8883;35840000,0000;25,4030
113133661,4827;35,0693;113133661,4827;25,0693;113133661,4827;45,0693;35880000,0000;27,2238;35880000,0000;28,9443
114159855,8133;35,1476;114159855,8133;25,1476;114159855,8133;45,1476;35920000,0000;27,0880;35920000,0000;27,7530
115195358,3798;35,2258;115195358,3798;25,2258;115195358,3798;45,2258;35960000,0000;27,3527;35960000,0000;27,7513
116240253,6137;35,3041;116240253,6137;25,3041;116240253,6137;45,3041;36000000,0000;31,3839;36000000,0000;30,6212
117294626,7126;35,3823;117294626,7126;25,3823;117294626,7126;45,3823;36040000,0000;32,7813;36040000,0000;34,3595
118358563,6467;35,4606;118358563,6467;25,4606;118358563,6467;45,4606;36080000,0000;34,3576;36080000,0000;32,0147
119432151,1660;35,5388;119432151,1660;25,5388;119432151,1660;45,5388;36120000,0000;29,0638;36120000,0000;31,2501
120515476,8077;35,6171;120515476,8077;25,6171;120515476,8077;45,6171;36160000,0000;25,9074;36160000,0000;26,2938
121608628,9025;35,6953;121608628,9025;25,6953;121608628,9025;45,6953;36200000,0000;24,0790;36200000,0000;25,9053
122711696,5828;35,7736;122711696,5828;25,7736;122711696,5828;45,7736;36240000,0000;25,6428;36240000,0000;24,9940
123824769,7891;35,8518;123824769,7891;25,8518;123824769,7891;45,8518;36280000,0000;25,3822;36280000,0000;25,2521
124947939,2780;35,9301;124947939,2780;25,9301;124947939,2780;45,9301;36320000,0000;25,7707;36320000,0000;25,7707
126081296,6292;36,0083;126081296,6292;26,0083;126081296,6292;46,0083;36360000,0000;24,2020;36360000,0000;24,7267
127224934,2530;36,0866;127224934,2530;26,0866;127224934,2530;46,0866;36400000,0000;25,8936;36400000,0000;26,1499
128378945,3982;36,1648;128378945,3982;26,1648;128378945,3982;46,1648;36440000,0000;23,9346;36440000,0000;25,5006
129543424,1590;36,2431;129543424,1590;26,2431;129543424,1590;46,2431;36480000,0000;25,6281;36480000,0000;24,7190
130718465,4835;36,3213;130718465,4835;26,3213;130718465,4835;46,3213;36520000,0000;26,0138;36520000,0000;24,0594
131904165,1809;36,3995;131904165,1809;26,3995;131904165,1809;46,3995;36560000,0000;23,5380;36560000,0000;25,2342
133100619,9294;36,4778;133100619,9294;26,4778;133100619,9294;46,4778;36600000,0000;24,4484;36600000,0000;24,3182
134307927,2840;36,5560;134307927,2840;26,5560;134307927,2840;46,5560;36640000,0000;23,7885;36640000,0000;23,9207
135526185,6850;36,6343;135526185,6850;26,6343;135526185,6850;46,6343;36680000,0000;23,6554;36680000,0000;23,1490
136755494,4652;36,7125;136755494,4652;26,7125;136755494,4652;46,7125;36720000,0000;23,1460;36720000,0000;25,4807
137995953,8586;36,7908;137995953,8586;26,7908;137995953,8586;46,7908;36760000,0000;23,9116;36760000,0000;24,0418
139247665,0084;36,8690;139247665,0084;26,8690;139247665,0084;46,8690;36800000,0000;23,6461;36800000,0000;24,1708
140510729,9751;36,9473;140510729,9751;26,9473;140510729,9751;46,9473;36840000,0000;25,4712;36840000,0000;25,2129
141785251,7452;37,0255;141785251,7452;27,0255;141785251,7452;47,0255;36880000,0000;24,2964;36880000,0000;23,9019
143071334,2391;37,1038;143071334,2391;27,1038;143071334,2391;47,1038;36920000,0000;24,8157;36920000,0000;23,3840
144369082,3199;37,1820;144369082,3199;27,1820;144369082,3199;47,1820;36960000,0000;23,3805;36960000,0000;23,2524
