RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y)
91090732,8056;34,0000;91090732,8056;24,0000;91090732,8056;44,0000;34920000,0000;29,2082
91916983,7406;34,0000;91916983,7406;24,0000;91916983,7406;44,0000;34960000,0000;28,0294
92750729,2975;34,0000;92750729,2975;24,0000;92750729,2975;44,0000;35000000,0000;28,4328
93592037,4574;34,0000;93592037,4574;24,0000;93592037,4574;44,0000;35040000,0000;29,0880
94440976,8179;34,0000;94440976,8179;24,0000;94440976,8179;44,0000;35080000,0000;28,4334
95297616,5988;34,0000;95297616,5988;24,0000;95297616,5988;44,0000;35120000,0000;27,2377
96162026,6478;34,0000;96162026,6478;24,0000;96162026,6478;44,0000;35160000,0000;27,6364
97034277,4463;34,0000;97034277,4463;24,0000;97034277,4463;44,0000;35200000,0000;28,5658
97914440,1148;34,0000;97914440,1148;24,0000;97914440,1148;44,0000;35240000,0000;28,9582
98802586,4190;34,0000;98802586,4190;24,0000;98802586,4190;44,0000;35280000,0000;32,6696
99698788,7756;34,0000;99698788,7756;24,0000;99698788,7756;44,0000;35320000,0000;33,2062
100603120,2581;34,0521;100603120,2581;24,0521;100603120,2581;44,0521;35360000,0000;32,9373
101515654,6028;34,1304;101515654,6028;24,1304;101515654,6028;44,1304;35400000,0000;29,3473
102436466,2150;34,2086;102436466,2150;24,2086;102436466,2150;44,2086;35440000,0000;29,2166
103365630,1747;34,2869;103365630,1747;24,2869;103365630,1747;44,2869;35480000,0000;26,5761
104303222,2430;34,3651;104303222,2430;24,3651;104303222,2430;44,3651;35520000,0000;27,8973
105249318,8682;34,4433;105249318,8682;24,4433;105249318,8682;44,4433;35560000,0000;26,3162
106203997,1921;34,5216;106203997,1921;24,5216;106203997,1921;44,5216;35600000,0000;29,2134
107167335,0561;34,5998;107167335,0561;24,5998;107167335,0561;44,5998;35640000,0000;28,9521
108139411,0079;34,6781;108139411,0079;24,6781;108139411,0079;44,6781;35680000,0000;27,3626
109120304,3073;34,7563;109120304,3073;24,7563;109120304,3073;44,7563;35720000,0000;26,0538
110110094,9334;34,8346;110110094,9334;24,8346;110110094,9334;44,8346;35760000,0000;26,3108
111108863,5906;34,9128;111108863,5906;24,9128;111108863,5906;44,9128;35800000,0000;25,7929
112116691,7153;34,9911;112116691,7153;24,9911;112116691,7153;44,9911;35840000,0000;27,8883
113133661,4827;35,0693;113133661,4827;25,0693;113133661,4827;45,0693;35880000,0000;27,2238
114159855,8133;35,1476;114159855,8133;25,1476;114159855,8133;45,1476;35920000,0000;27,0880
115195358,3798;35,2258;115195358,3798;25,2258;115195358,3798;45,2258;35960000,0000;27,3527
116240253,6137;35,3041;116240253,6137;25,3041;116240253,6137;45,3041;36000000,0000;31,3839
117294626,7126;35,3823;117294626,7126;25,3823;117294626,7126;45,3823;36040000,0000;32,7813
118358563,6467;35,4606;118358563,6467;25,4606;118358563,6467;45,4606;36080000,0000;34,3576
119432151,1660;35,5388;119432151,1660;25,5388;119432151,1660;45,5388;36120000,0000;29,0638
120515476,8077;35,6171;120515476,8077;25,6171;120515476,8077;45,6171;36160000,0000;25,9074
121608628,9025;35,6953;121608628,9025;25,6953;121608628,9025;45,6953;36200000,0000;24,0790
122711696,5828;35,7736;122711696,5828;25,7736;122711696,5828;45,7736;36240000,0000;25,6428
123824769,7891;35,8518;123824769,7891;25,8518;123824769,7891;45,8518;36280000,0000;25,3822
124947939,2780;35,9301;124947939,2780;25,9301;124947939,2780;45,9301;36320000,0000;25,7707
126081296,6292;36,0083;126081296,6292;26,0083;126081296,6292;46,0083;36360000,0000;24,2020
127224934,2530;36,0866;127224934,2530;26,0866;127224934,2530;46,0866;36400000,0000;25,8936
128378945,3982;36,1648;128378945,3982;26,1648;128378945,3982;46,1648;36440000,0000;23,9346
129543424,1590;36,2431;129543424,1590;26,2431;129543424,1590;46,2431;36480000,0000;25,6281
130718465,4835;36,3213;130718465,4835;26,3213;130718465,4835;46,3213;36520000,0000;26,0138
131904165,1809;36,3995;131904165,1809;26,3995;131904165,1809;46,3995;36560000,0000;23,5380
133100619,9294;36,4778;133100619,9294;26,4778;133100619,9294;46,4778;36600000,0000;24,4484
134307927,2840;36,5560;134307927,2840;26,5560;134307927,2840;46,5560;36640000,0000;23,7885
135526185,6850;36,6343;135526185,6850;26,6343;135526185,6850;46,6343;36680000,0000;23,6554
136755494,4652;36,7125;136755494,4652;26,7125;136755494,4652;46,7125;36720000,0000;23,1460
137995953,8586;36,7908;137995953,8586;26,7908;137995953,8586;46,7908;36760000,0000;23,9116
139247665,0084;36,8690;139247665,0084;26,8690;139247665,0084;46,8690;36800000,0000;23,6461
140510729,9751;36,9473;140510729,9751;26,9473;140510729,9751;46,9473;36840000,0000;25,4712
141785251,7452;37,0255;141785251,7452;27,0255;141785251,7452;47,0255;36880000,0000;24,2964
143071334,2391;37,1038;143071334,2391;27,1038;143071334,2391;47,1038;36920000,0000;24,8157
144369082,3199;37,1820;144369082,3199;27,1820;144369082,3199;47,1820;36960000,0000;23,3805
145678601,8020;37,2603;145678601,8020;27,2603;145678601,8020;47,2603;37000000,0000;23,7594
146999999,4594;37,3385;146999999,4594;27,3385;146999999,4594;47,3385;37040000,0000;25,8444
148333383,0348;37,4168;148333383,0348;27,4168;148333383,0348;47,4168;37080000,0000;26,4891
149678861,2480;37,4950;149678861,2480;27,4950;149678861,2480;47,4950;37120000,0000;23,7485
151036543,8051;37,5733;151036543,8051;27,5733;151036543,8051;47,5733;37160000,0000;22,7299
152406541,4074;37,6515;152406541,4074;27,6515;152406541,4074;47,6515;37200000,0000;21,7905
153788965,7600;37,7298;153788965,7600;27,7298;153788965,7600;47,7298;37240000,0000;22,8483
155183929,5816;37,8080;155183929,5816;27,8080;155183929,5816;47,8080;37280000,0000;21,7827
156591546,6131;37,8863;156591546,6131;27,8863;156591546,6131;47,8863;37320000,0000;23,8613
158011931,6271;37,9645;158011931,6271;27,9645;158011931,6271;47,9645;37360000,0000;23,3427
159445200,4374;38,0428;159445200,4374;28,0428;159445200,4374;48,0428;37400000,0000;22,8321
160891469,9083;38,1210;160891469,9083;28,1210;160891469,9083;48,1210;37440000,0000;24,2435
162350857,9639;38,1993;162350857,9639;28,1993;162350857,9639;48,1993;37480000,0000;26,7062
163823483,5983;38,2775;163823483,5983;28,2775;163823483,5983;48,2775;37520000,0000;28,8210
165309466,8846;38,3557;165309466,8846;28,3557;165309466,8846;48,3557;37560000,0000;28,0255
166808928,9854;38,4340;166808928,9854;28,4340;166808928,9854;48,4340;37600000,0000;23,8316
168321992,1619;38,5122;168321992,1619;28,5122;168321992,1619;48,5122;37640000,0000;22,9368
169848779,7847;38,5905;169848779,7847;28,5905;169848779,7847;48,5905;37680000,0000;23,3081
171389416,3431;38,6687;171389416,3431;28,6687;171389416,3431;48,6687;37720000,0000;23,1754
172944027,4560;38,7470;172944027,4560;28,7470;172944027,4560;48,7470;37760000,0000;23,1708
174512739,8812;38,8252;174512739,8812;28,8252;174512739,8812;48,8252;37800000,0000;24,4656
176095681,5268;38,9035;176095681,5268;28,9035;176095681,5268;48,9035;37840000,0000;23,5416
177692981,4609;38,9817;177692981,4609;28,9817;177692981,4609;48,9817;37880000,0000;23,0304
179304769,9222;39,0600;179304769,9222;29,0600;179304769,9222;49,0600;37920000,0000;22,5192
180931178,3309;39,1382;180931178,3309;29,1382;180931178,3309;49,1382;37960000,0000;22,6424
182572339,2992;39,2165;182572339,2992;29,2165;182572339,2992;49,2165;38000000,0000;21,2952
184228386,6423;39,2947;184228386,6423;29,2947;184228386,6423;49,2947;38040000,0000;21,9654
185899455,3890;39,3730;185899455,3890;29,3730;185899455,3890;49,3730;38080000,0000;22,0946
187585681,7931;39,4512;187585681,7931;29,4512;187585681,7931;49,4512;38120000,0000;22,0946
189287203,3441;39,5295;189287203,3441;29,5295;189287203,3441;49,5295;38160000,0000;23,5018
191004158,7787;39,6077;191004158,7787;29,6077;191004158,7787;49,6077;38200000,0000;23,2444
192736688,0922;39,6860;192736688,0922;29,6860;192736688,0922;49,6860;38240000,0000;22,9849
194484932,5494;39,7642;194484932,5494;29,7642;194484932,5494;49,7642;38280000,0000;23,1057
196249034,6969;39,8425;196249034,6969;29,8425;196249034,6969;49,8425;38320000,0000;21,9289
198029138,3738;39,9207;198029138,3738;29,9207;198029138,3738;49,9207;38360000,0000;23,2230
199825388,7243;39,9990;199825388,7243;29,9990;199825388,7243;49,9990;38400000,0000;20,8361
201637932,2089;40,0772;201637932,2089;30,0772;201637932,2089;50,0772;38440000,0000;22,4514
203466916,6169;40,1555;203466916,6169;30,1555;203466916,6169;50,1555;38480000,0000;22,1774
205312491,0777;40,2337;205312491,0777;30,2337;205312491,0777;50,2337;38520000,0000;21,6329
207174806,0738;40,3119;207174806,0738;30,3119;207174806,0738;50,3119;38560000,0000;20,6831
209054013,4525;40,3902;209054013,4525;30,3902;209054013,4525;50,3902;38600000,0000;21,4852
210950266,4384;40,4684;210950266,4384;30,4684;210950266,4384;50,4684;38640000,0000;20,3975
212863719,6460;40,5467;212863719,6460;30,5467;212863719,6460;50,5467;38680000,0000;20,3917
214794529,0924;40,6249;214794529,0924;30,6249;214794529,0924;50,6249;38720000,0000;20,6543
216742852,2095;40,7032;216742852,2095;30,7032;216742852,2095;50,7032;38760000,0000;26,1518
218708847,8577;40,7814;218708847,8577;30,7814;218708847,8577;50,7814;38800000,0000;22,3997
